seed,tau,Group,rs,rm
27,0.30000000,Overall,0.90611028,0.90760060
27,0.30000000,High-Risk,0.98437500,0.97265625
27,0.30000000,Low-Risk,0.83561644,0.84931507
27,0.40000000,Overall,0.83010432,0.83159463
27,0.40000000,High-Risk,0.92968750,0.92187500
27,0.40000000,Low-Risk,0.72602740,0.72602740
27,0.50000000,Overall,0.74515648,0.74664680
27,0.50000000,High-Risk,0.86328125,0.86328125
27,0.50000000,Low-Risk,0.55479452,0.56164384
27,0.60000000,Overall,0.61698957,0.61251863
27,0.60000000,High-Risk,0.76953125,0.76171875
27,0.60000000,Low-Risk,0.41095890,0.41780822
27,0.70000000,Overall,0.49031297,0.46646796
27,0.70000000,High-Risk,0.65234375,0.65625000
27,0.70000000,Low-Risk,0.28767123,0.26712329
28,0.30000000,Overall,0.93144560,0.93144560
28,0.30000000,High-Risk,0.96470588,0.95294118
28,0.30000000,Low-Risk,0.87662338,0.88311688
28,0.40000000,Overall,0.84947839,0.85692996
28,0.40000000,High-Risk,0.92549020,0.92156863
28,0.40000000,Low-Risk,0.75974026,0.75324675
28,0.50000000,Overall,0.75558867,0.75111773
28,0.50000000,High-Risk,0.85490196,0.87450980
28,0.50000000,Low-Risk,0.61038961,0.55844156
28,0.60000000,Overall,0.63040238,0.62593145
28,0.60000000,High-Risk,0.78431373,0.78823529
28,0.60000000,Low-Risk,0.38961039,0.37012987
28,0.70000000,Overall,0.47093890,0.47540984
28,0.70000000,High-Risk,0.61568627,0.63529412
28,0.70000000,Low-Risk,0.22077922,0.25324675
29,0.30000000,Overall,0.90461997,0.90014903
29,0.30000000,High-Risk,0.95564516,0.94758065
29,0.30000000,Low-Risk,0.84768212,0.83443709
29,0.40000000,Overall,0.83457526,0.82563338
29,0.40000000,High-Risk,0.91532258,0.91129032
29,0.40000000,Low-Risk,0.72185430,0.71523179
29,0.50000000,Overall,0.73174367,0.74068554
29,0.50000000,High-Risk,0.84677419,0.85887097
29,0.50000000,Low-Risk,0.55629139,0.55629139
29,0.60000000,Overall,0.62295082,0.61251863
29,0.60000000,High-Risk,0.78629032,0.77016129
29,0.60000000,Low-Risk,0.39735099,0.38410596
29,0.70000000,Overall,0.46944858,0.48435171
29,0.70000000,High-Risk,0.63306452,0.63306452
29,0.70000000,Low-Risk,0.21854305,0.23841060
30,0.30000000,Overall,0.89716841,0.89865872
30,0.30000000,High-Risk,0.96887160,0.97665370
30,0.30000000,Low-Risk,0.77483444,0.76158940
30,0.40000000,Overall,0.82563338,0.82712370
30,0.40000000,High-Risk,0.91828794,0.92607004
30,0.40000000,Low-Risk,0.67549669,0.66225166
30,0.50000000,Overall,0.70491803,0.71833085
30,0.50000000,High-Risk,0.86381323,0.85603113
30,0.50000000,Low-Risk,0.45695364,0.51655629
30,0.60000000,Overall,0.60804769,0.60953800
30,0.60000000,High-Risk,0.76653696,0.77042802
30,0.60000000,Low-Risk,0.35099338,0.36423841
30,0.70000000,Overall,0.46795827,0.45603577
30,0.70000000,High-Risk,0.63813230,0.63424125
30,0.70000000,Low-Risk,0.21192053,0.18543046
31,0.30000000,Overall,0.90611028,0.91505216
31,0.30000000,High-Risk,0.96093750,0.97656250
31,0.30000000,Low-Risk,0.80136986,0.81506849
31,0.40000000,Overall,0.81818182,0.82414307
31,0.40000000,High-Risk,0.91406250,0.92968750
31,0.40000000,Low-Risk,0.65753425,0.65068493
31,0.50000000,Overall,0.72727273,0.74068554
31,0.50000000,High-Risk,0.86718750,0.86718750
31,0.50000000,Low-Risk,0.50684932,0.52739726
31,0.60000000,Overall,0.62742176,0.61847988
31,0.60000000,High-Risk,0.79296875,0.78515625
31,0.60000000,Low-Risk,0.35616438,0.33561644
31,0.70000000,Overall,0.50819672,0.50074516
31,0.70000000,High-Risk,0.66796875,0.68359375
31,0.70000000,Low-Risk,0.21917808,0.21917808
32,0.30000000,Overall,0.91654247,0.91505216
32,0.30000000,High-Risk,0.96887160,0.97276265
32,0.30000000,Low-Risk,0.84516129,0.83225806
32,0.40000000,Overall,0.84202683,0.84947839
32,0.40000000,High-Risk,0.93774319,0.94163424
32,0.40000000,Low-Risk,0.71612903,0.76129032
32,0.50000000,Overall,0.73323398,0.74366617
32,0.50000000,High-Risk,0.86381323,0.87159533
32,0.50000000,Low-Risk,0.53548387,0.57419355
32,0.60000000,Overall,0.61400894,0.60208644
32,0.60000000,High-Risk,0.77821012,0.74319066
32,0.60000000,Low-Risk,0.38064516,0.41290323
32,0.70000000,Overall,0.46795827,0.44709389
32,0.70000000,High-Risk,0.60700389,0.55642023
32,0.70000000,Low-Risk,0.22580645,0.24516129
33,0.30000000,Overall,0.91654247,0.90760060
33,0.30000000,High-Risk,0.97177419,0.96370968
33,0.30000000,Low-Risk,0.82432432,0.82432432
33,0.40000000,Overall,0.84202683,0.84798808
33,0.40000000,High-Risk,0.93145161,0.93548387
33,0.40000000,Low-Risk,0.68243243,0.70945946
33,0.50000000,Overall,0.73174367,0.74068554
33,0.50000000,High-Risk,0.86290323,0.87500000
33,0.50000000,Low-Risk,0.50675676,0.52702703
33,0.60000000,Overall,0.61251863,0.61698957
33,0.60000000,High-Risk,0.78629032,0.79435484
33,0.60000000,Low-Risk,0.35135135,0.37162162
33,0.70000000,Overall,0.47690015,0.46646796
33,0.70000000,High-Risk,0.65322581,0.64919355
33,0.70000000,Low-Risk,0.20945946,0.20945946
34,0.30000000,Overall,0.90312966,0.90611028
34,0.30000000,High-Risk,0.97233202,0.97628458
34,0.30000000,Low-Risk,0.81506849,0.82191781
34,0.40000000,Overall,0.84053651,0.84351714
34,0.40000000,High-Risk,0.94466403,0.94466403
34,0.40000000,Low-Risk,0.67808219,0.69863014
34,0.50000000,Overall,0.72727273,0.72578241
34,0.50000000,High-Risk,0.88537549,0.88537549
34,0.50000000,Low-Risk,0.51369863,0.51369863
34,0.60000000,Overall,0.61698957,0.60953800
34,0.60000000,High-Risk,0.80632411,0.80632411
34,0.60000000,Low-Risk,0.36986301,0.34246575
34,0.70000000,Overall,0.48435171,0.47540984
34,0.70000000,High-Risk,0.66403162,0.65612648
34,0.70000000,Low-Risk,0.21917808,0.23972603
35,0.30000000,Overall,0.91803279,0.92101341
35,0.30000000,High-Risk,0.96934866,0.96934866
35,0.30000000,Low-Risk,0.86666667,0.87333333
35,0.40000000,Overall,0.83606557,0.84500745
35,0.40000000,High-Risk,0.93486590,0.93869732
35,0.40000000,Low-Risk,0.72000000,0.73333333
35,0.50000000,Overall,0.74515648,0.73472429
35,0.50000000,High-Risk,0.89655172,0.87356322
35,0.50000000,Low-Risk,0.58666667,0.58000000
35,0.60000000,Overall,0.61847988,0.60655738
35,0.60000000,High-Risk,0.78160920,0.78160920
35,0.60000000,Low-Risk,0.40666667,0.38000000
35,0.70000000,Overall,0.47690015,0.48584203
35,0.70000000,High-Risk,0.62835249,0.64367816
35,0.70000000,Low-Risk,0.24666667,0.24666667
36,0.30000000,Overall,0.93293592,0.93144560
36,0.30000000,High-Risk,0.98015873,0.96825397
36,0.30000000,Low-Risk,0.86666667,0.88666667
36,0.40000000,Overall,0.85692996,0.85692996
36,0.40000000,High-Risk,0.92460317,0.94047619
36,0.40000000,Low-Risk,0.73333333,0.74000000
36,0.50000000,Overall,0.74217586,0.74813711
36,0.50000000,High-Risk,0.85714286,0.87301587
36,0.50000000,Low-Risk,0.58666667,0.61333333
36,0.60000000,Overall,0.60804769,0.60804769
36,0.60000000,High-Risk,0.74603175,0.76190476
36,0.60000000,Low-Risk,0.40000000,0.40666667
36,0.70000000,Overall,0.48137109,0.47540984
36,0.70000000,High-Risk,0.61111111,0.61507937
36,0.70000000,Low-Risk,0.25333333,0.25333333
37,0.30000000,Overall,0.92101341,0.92399404
