seed,tau,Group,rs,rm
10,0.4,Overall,0.8375558867362146,0.8584202682563339
10,0.4,High-Risk,0.9224489795918367,0.9551020408163265
10,0.4,Low-Risk,0.6967741935483871,0.7483870967741936
10,0.5,Overall,0.7511177347242921,0.7496274217585693
10,0.5,High-Risk,0.8734693877551021,0.8816326530612245
10,0.5,Low-Risk,0.5612903225806452,0.5225806451612903
10,0.6,Overall,0.6363636363636364,0.5961251862891207
10,0.6,High-Risk,0.8,0.7510204081632653
10,0.6,Low-Risk,0.36774193548387096,0.36129032258064514
10,0.7,Overall,0.503725782414307,0.4426229508196721
10,0.7,High-Risk,0.673469387755102,0.5918367346938775
10,0.7,Low-Risk,0.22580645161290322,0.17419354838709677
11,0.3,Overall,0.8926974664679582,0.9180327868852459
11,0.3,High-Risk,0.9655172413793104,0.9808429118773946
11,0.3,Low-Risk,0.7571428571428571,0.8214285714285714
11,0.4,Overall,0.819672131147541,0.8450074515648286
11,0.4,High-Risk,0.9157088122605364,0.946360153256705
11,0.4,Low-Risk,0.6214285714285714,0.6714285714285714
11,0.5,Overall,0.7377049180327869,0.7406855439642325
11,0.5,High-Risk,0.8812260536398467,0.896551724137931
11,0.5,Low-Risk,0.5,0.4928571428571429
11,0.6,Overall,0.6304023845007451,0.6020864381520119
11,0.6,High-Risk,0.8084291187739464,0.7777777777777778
11,0.6,Low-Risk,0.3357142857142857,0.32142857142857145
11,0.7,Overall,0.503725782414307,0.4456035767511177
11,0.7,High-Risk,0.6590038314176245,0.5900383141762452
11,0.7,Low-Risk,0.22857142857142856,0.19285714285714287
12,0.3,Overall,0.9016393442622951,0.9195230998509687
12,0.3,High-Risk,0.9705882352941176,0.9889705882352942
12,0.3,Low-Risk,0.8525641025641025,0.8782051282051282
12,0.4,Overall,0.8107302533532041,0.8241430700447094
12,0.4,High-Risk,0.9375,0.9522058823529411
12,0.4,Low-Risk,0.7051282051282052,0.7371794871794872
12,0.5,Overall,0.6974664679582713,0.6870342771982116
12,0.5,High-Risk,0.875,0.875
12,0.5,Low-Risk,0.532051282051282,0.5256410256410257
12,0.6,Overall,0.5842026825633383,0.5499254843517138
12,0.6,High-Risk,0.8235294117647058,0.8088235294117647
12,0.6,Low-Risk,0.34615384615384615,0.3141025641025641
