seed,design,Group,Model,ROC,Rec
42,FOLD,Marginal,M,0.65339279,0.61038961
42,FOLD,Clear,S,0.89460923,0.80716253
42,FOLD,Clear,M,0.89419412,0.80440771
43,FULL,Marginal,S,0.66449318,0.63265306
43,FULL,Marginal,M,0.64922234,0.62925170
43,FULL,Clear,S,0.87317418,0.85941645
43,FULL,Clear,M,0.87300619,0.85411141
43,FOLD,Marginal,S,0.66450730,0.63265306
43,FOLD,Marginal,M,0.66411212,0.62244898
43,FOLD,Clear,S,0.87317418,0.85941645
43,FOLD,Clear,M,0.87297082,0.85145889
44,FULL,Marginal,S,0.67103827,0.65156794
44,FULL,Marginal,M,0.64175801,0.58885017
44,FULL,Clear,S,0.89490327,0.87239583
44,FULL,Clear,M,0.89601089,0.86718750
44,FOLD,Marginal,S,0.67103827,0.65156794
44,FOLD,Marginal,M,0.63810920,0.59581882
44,FOLD,Clear,S,0.89490327,0.87239583
44,FOLD,Clear,M,0.89311080,0.87239583
45,FULL,Marginal,S,0.67490660,0.62671233
45,FULL,Marginal,M,0.65826588,0.61986301
45,FULL,Clear,S,0.85895824,0.80738786
45,FULL,Clear,M,0.87189604,0.80738786
45,FOLD,Marginal,S,0.67490660,0.62671233
45,FOLD,Marginal,M,0.64747821,0.63013699
45,FOLD,Clear,S,0.85895824,0.80738786
45,FOLD,Clear,M,0.86711217,0.80738786
46,FULL,Marginal,S,0.64853556,0.59615385
46,FULL,Marginal,M,0.64054286,0.60897436
46,FULL,Clear,S,0.87711450,0.86072423
46,FULL,Clear,M,0.86789094,0.86072423
46,FOLD,Marginal,S,0.64853556,0.59615385
46,FOLD,Marginal,M,0.63461538,0.58012821
46,FOLD,Clear,S,0.87710528,0.86072423
46,FOLD,Clear,M,0.87896844,0.85515320
47,FULL,Marginal,S,0.64004761,0.58085809
47,FULL,Marginal,M,0.64148136,0.55775578
47,FULL,Clear,S,0.88343581,0.85054348
47,FULL,Clear,M,0.87194408,0.85054348
47,FOLD,Marginal,S,0.64004761,0.58085809
47,FOLD,Marginal,M,0.64161662,0.57755776
47,FOLD,Clear,S,0.88343581,0.85054348
47,FOLD,Clear,M,0.87936430,0.85054348
48,FULL,Marginal,S,0.66715245,0.61075949
48,FULL,Marginal,M,0.62513880,0.59810127
48,FULL,Clear,S,0.88834991,0.80000000
48,FULL,Clear,M,0.89108581,0.80000000
48,FOLD,Marginal,S,0.66715245,0.61075949
48,FOLD,Marginal,M,0.63207861,0.62658228
48,FOLD,Clear,S,0.88834991,0.80000000
48,FOLD,Clear,M,0.89327274,0.80000000
49,FULL,Marginal,S,0.67058875,0.65034965
49,FULL,Marginal,M,0.65522444,0.63636364
49,FULL,Clear,S,0.88423377,0.84935065
49,FULL,Clear,M,0.88454545,0.84935065
49,FOLD,Marginal,S,0.67058875,0.65034965
49,FOLD,Marginal,M,0.64644691,0.65384615
49,FOLD,Clear,S,0.88423377,0.84935065
49,FOLD,Clear,M,0.88171429,0.84675325
50,FULL,Marginal,S,0.68231258,0.64583333
50,FULL,Marginal,M,0.68609159,0.68055556
50,FULL,Clear,S,0.88633356,0.86684073
50,FULL,Clear,M,0.89411281,0.86684073
50,FOLD,Marginal,S,0.68231258,0.64583333
50,FOLD,Marginal,M,0.66998550,0.63888889
50,FOLD,Clear,S,0.88633356,0.86684073
50,FOLD,Clear,M,0.88994599,0.86422977
