row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
69,1.0230033,0.47661874,-5.1993376,-1.059682,0.63946185,0.29660674,1.761948,5.1993376,-5.1993376,1.2023467,1.3781138,-1.873053,-5.1993376
70,-5.1993376,1.6691125,0.11820414,-1.8179677,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,-5.1993376,0.85167519,0.9127741
71,-5.1993376,0.63485111,-1.1644437,-0.56279634,-0.69112102,-0.1422445,-0.67055744,5.1993376,5.1993376,-0.17018472,2.1196682,-1.6691125,0.43791478
72,-5.1993376,-1.3310177,0.2239158,0.36821529,-0.26398459,-0.1422445,-0.67055744,5.1993376,-5.1993376,1.4568958,0.18547963,-0.36553148,-5.1993376
73,-5.1993376,-0.046435725,-1.1644437,-0.6150245,-2.6965111,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.22262957,0.69910809,-0.57311539,-5.1993376
74,-5.1993376,0.31105902,0.2239158,0.71359852,1.0955557,0.62109893,-1.5215251,5.1993376,5.1993376,-0.17018472,-1.1694007,-0.57311539,-5.1993376
75,-5.1993376,-0.42660141,0.55253687,0.57607489,-0.69112102,-5.1993376,0.25360621,5.1993376,-5.1993376,1.0841952,0.69910809,0.98561042,0.34003274
76,1.0230033,-0.66898742,-0.7315153,-0.44869228,0.30448193,0.29660674,1.761948,-5.1993376,5.1993376,0.22262957,-1.1694007,-0.17527843,0.27569442
77,-5.1993376,0.13464458,-0.7315153,-0.39384742,-0.83733836,0.29660674,-1.1768904,5.1993376,5.1993376,-5.1993376,0.69910809,0.58052362,0.80077557
78,0.51349142,0.33485067,-1.1644437,-0.44869228,-0.26398459,0.62109893,-0.36687305,5.1993376,5.1993376,0.10810309,0.18547963,-0.57311539,0.22906446
79,2.8778461,0.9165865,1.649237,0.13337869,-1.8114574,1.4354772,5.1993376,-5.1993376,-5.1993376,0.79360155,2.1196682,1.1140325,3.2300457
80,-5.1993376,1.3402005,1.0841952,-1.059682,0.30448193,0.87535389,-1.7986626,5.1993376,5.1993376,0.48930663,-1.1694007,-0.36553148,0.49213682
81,-5.1993376,-0.21491982,1.2640664,1.6640817,-1.3219458,-0.1422445,-0.67055744,5.1993376,-5.1993376,1.3781138,0.69910809,-0.001254569,0.64254324
82,-5.1993376,1.6159455,1.649237,1.6299924,-1.3219458,-5.1993376,0.25360621,5.1993376,5.1993376,-0.053972647,0.69910809,2.8778461,-5.1993376
